country,平均评分,电影数量,平均时长
Afghanistan,7.4,1,83.0
Argentina,7.5,4,108.0
Aruba,4.8,1,91.0
Australia,6.51,55,105.47
Bahamas,4.4,1,94.0
Belgium,5.6,4,103.0
Brazil,7.28,8,110.0
Bulgaria,6.1,1,109.0
Cambodia,5.6,1,100.0
Cameroon,7.5,1,104.0
Canada,6.15,124,99.56
Chile,6.9,1,127.0
China,6.61,28,116.82
Colombia,7.5,1,101.0
Czech Republic,6.97,3,117.0
Denmark,7.17,11,108.55
Dominican Republic,6.9,1,101.0
Egypt,8.1,1,108.0
Finland,7.2,1,93.0
France,6.67,153,107.47
Georgia,5.6,1,113.0
Germany,6.32,96,110.16
Greece,7.0,2,103.0
Hong Kong,6.74,17,101.24
Hungary,6.45,2,121.5
Iceland,6.9,2,90.0
India,6.53,34,136.18
Indonesia,7.6,1,102.0
Iran,7.72,4,107.25
Ireland,6.78,12,96.75
Israel,7.52,4,91.25
Italy,6.87,23,116.74
Japan,6.9,22,114.23
Kenya,7.4,1,60.0
Kyrgyzstan,8.7,1,135.0
Libya,8.4,1,156.0
Mexico,6.78,17,111.24
Netherlands,6.94,5,110.8
New Line,4.4,1,104.0
New Zealand,7.28,15,132.07
Nigeria,5.6,1,95.0
Norway,6.74,8,92.5
Official site,6.3,1,117.0
Pakistan,7.0,1,103.0
Panama,7.2,1,105.0
Peru,5.4,1,110.0
Philippines,6.3,1,80.0
Poland,7.62,5,66.8
Romania,6.6,4,104.25
Russia,6.08,11,109.55
Slovakia,6.0,1,141.0
Slovenia,6.4,1,83.0
South Africa,6.44,8,101.25
South Korea,6.26,14,120.86
Soviet Union,8.1,1,115.0
Spain,6.82,33,105.94
Sweden,7.52,6,135.83
Switzerland,5.9,3,104.0
Taiwan,7.15,2,112.5
Thailand,6.08,5,142.8
Turkey,6.0,1,122.0
UK,6.81,442,110.07
USA,6.37,3773,106.33
United Arab Emirates,8.2,1,62.0
West Germany,7.27,3,155.67
