director_name,平均评分,电影数量,最高评分,最低评分
A. Raven Cruz,1.9,1,1.9,1.9
Aaron Hann,6.0,1,6.0,6.0
Aaron Schneider,7.1,1,7.1,7.1
Aaron Seltzer,2.7,1,2.7,2.7
Abel Ferrara,6.6,1,6.6,6.6
Adam Brooks,7.2,1,7.2,7.2
Adam Carolla,6.1,1,6.1,6.1
Adam Goldberg,5.4,1,5.4,5.4
Adam Green,5.7,1,5.7,5.7
Adam Jay Epstein,3.8,1,3.8,3.8
Adam Marcus,4.3,1,4.3,4.3
Adam McKay,6.92,6,7.8,6.3
Adam Rapp,6.4,1,6.4,6.4
Adam Rifkin,6.5,2,6.8,6.2
Adam Shankman,5.96,8,7.4,5.2
Adrian Lyne,6.4,4,6.9,5.9
Adrienne Shelly,7.1,1,7.1,7.1
Agnieszka Holland,6.8,1,6.8,6.8
Agnieszka Wojtowicz-Vosloo,5.9,1,5.9,5.9
Agustín Díaz Yanes,6.1,1,6.1,6.1
Aki Kaurismäki,7.2,1,7.2,7.2
Akira Kurosawa,8.1,2,8.7,7.5
Akiva Goldsman,6.2,1,6.2,6.2
Akiva Schaffer,6.03,3,6.7,5.7
Al Franklin,4.3,1,4.3,4.3
Al Silliman Jr.,4.0,1,4.0,4.0
Alain Resnais,6.3,1,6.3,6.3
Alan Alda,7.2,1,7.2,7.2
Alan Cohn,6.0,1,6.0,6.0
Alan J. Pakula,6.3,2,6.5,6.1
Alan Jacobs,7.3,1,7.3,7.3
Alan Metter,3.3,1,3.3,3.3
Alan Parker,7.03,3,7.5,6.3
Alan Poul,5.3,1,5.3,5.3
Alan Rudolph,4.6,1,4.6,4.6
Alan Shapiro,5.2,1,5.2,5.2
Alan Taylor,6.85,2,7.1,6.6
Alan Yuen,6.2,1,6.2,6.2
Albert Brooks,5.6,1,5.6,5.6
Albert Hughes,7.07,3,7.5,6.8
Alec Asten,4.3,1,4.3,4.3
Alejandro Agresti,6.8,1,6.8,6.8
Alejandro Amenábar,7.15,4,8.1,5.7
Alejandro G. Iñárritu,7.78,6,8.1,7.5
Alejandro Monteverde,7.4,2,7.4,7.4
Aleksandr Veledinskiy,7.5,1,7.5,7.5
Aleksey German,6.7,1,6.7,6.7
Alessandro Carloni,7.2,1,7.2,7.2
Alex Cox,6.9,1,6.9,6.9
Alex Craig Mann,4.6,1,4.6,4.6
Alex Garland,7.7,1,7.7,7.7
Alex Gibney,7.7,1,7.7,7.7
Alex Kendrick,6.78,4,7.0,6.5
Alex Proyas,6.82,5,7.7,5.5
Alex Ranarivelo,4.8,1,4.8,4.8
Alex Rivera,5.9,1,5.9,5.9
Alex Smith,6.1,1,6.1,6.1
Alex Zamm,2.3,1,2.3,2.3
Alex van Warmerdam,7.0,1,7.0,7.0
Alexander Payne,7.42,5,7.8,7.2
Alexander Witt,6.2,1,6.2,6.2
Alexandre Aja,6.22,4,6.8,5.5
Alfonso Cuarón,7.8,4,7.9,7.7
Alfred Hitchcock,7.35,8,8.5,6.3
Alice Wu,7.6,1,7.6,7.6
Alison Maclean,7.0,1,7.0,7.0
Alister Grierson,5.9,1,5.9,5.9
Allan Arkush,4.2,1,4.2,4.2
Allan Dwan,7.2,1,7.2,7.2
Allen Coulter,7.2,1,7.2,7.2
Allen Hughes,6.2,1,6.2,6.2
Allison Anders,6.4,2,6.7,6.1
Allison Burnett,6.0,1,6.0,6.0
Amal Al-Agroobi,8.2,1,8.2,8.2
Amanda Gusack,6.1,1,6.1,6.1
Amat Escalante,6.8,1,6.8,6.8
Amy Heckerling,6.1,4,7.2,5.1
Amy Holden Jones,6.1,1,6.1,6.1
Analeine Cal y Mayor,6.2,1,6.2,6.2
Anand Tucker,6.57,3,6.9,6.4
Andrea Arnold,7.3,1,7.3,7.3
Andrea Di Stefano,6.6,1,6.6,6.6
Andrei Tarkovsky,8.1,1,8.1,8.1
Andrew Adamson,7.08,5,7.9,6.6
Andrew Berends,6.6,1,6.6,6.6
Andrew Bergman,4.8,2,5.3,4.3
Andrew Bujalski,6.65,2,6.9,6.4
Andrew Currie,6.8,1,6.8,6.8
Andrew Davis,6.5,4,7.8,5.5
Andrew Dominik,6.85,2,7.5,6.2
Andrew Douglas,6.0,1,6.0,6.0
Andrew Erwin,6.1,2,6.8,5.4
Andrew Fleming,6.15,4,6.4,5.9
Andrew Haigh,7.7,1,7.7,7.7
Andrew Hyatt,4.4,1,4.4,4.4
Andrew Jarecki,6.3,1,6.3,6.3
Andrew Leman,7.3,1,7.3,7.3
Andrew Morahan,4.3,1,4.3,4.3
Andrew Niccol,6.88,5,7.8,5.9
Andrew Stanton,7.73,3,8.4,6.6
Andrew Steggall,7.0,1,7.0,7.0
Andrew Traucki,5.8,1,5.8,5.8
Andrew Wilson,5.5,1,5.5,5.5
Andrey Konchalovskiy,5.35,2,6.3,4.4
Andrey Zvyagintsev,8.0,1,8.0,8.0
Andrucha Waddington,7.5,1,7.5,7.5
Andrzej Bartkowiak,5.26,5,6.1,3.7
André Téchiné,6.0,1,6.0,6.0
André Øvredal,7.0,1,7.0,7.0
Andrés Couturier,4.4,1,4.4,4.4
Andrés Muschietti,6.2,1,6.2,6.2
Andy Cadiff,6.1,2,6.1,6.1
Andy Fickman,5.77,6,6.4,4.4
Andy Garcia,6.7,1,6.7,6.7
Andy Tennant,6.25,6,7.0,5.5
Ang Lee,7.25,8,8.0,5.7
Angela Robinson,5.0,2,5.3,4.7
Angelina Jolie Pitt,5.6,3,7.2,4.3
Angelo Pizzo,7.0,1,7.0,7.0
Anna Boden,7.2,1,7.2,7.2
Anna Mastro,5.3,1,5.3,5.3
Anna Muylaert,7.9,1,7.9,7.9
Annabel Jankel,4.0,1,4.0,4.0
Anne Fletcher,6.04,5,6.7,5.1
Anne Fontaine,6.45,2,6.7,6.2
Anthony Bell,5.3,1,5.3,5.3
Anthony C. Ferrante,3.3,1,3.3,3.3
Anthony Hemingway,5.9,1,5.9,5.9
Anthony Hickox,5.3,1,5.3,5.3
Anthony Mann,6.7,1,6.7,6.7
Anthony Minghella,7.3,3,7.4,7.2
Anthony O'Brien,5.5,1,5.5,5.5
Anthony Powell,7.6,1,7.6,7.6
Anthony Russo,7.0,4,8.2,5.6
Anthony Silverston,5.8,1,5.8,5.8
Anthony Vallone,7.8,1,7.8,7.8
Antoine Fuqua,6.94,8,7.7,6.1
Anton Corbijn,6.93,3,7.7,6.3
Antonia Bird,7.1,1,7.1,7.1
Antonio Banderas,6.3,1,6.3,6.3
Antonio Simoncini,3.1,1,3.1,3.1
Antony Hoffman,5.7,1,5.7,5.7
Anurag Basu,6.0,1,6.0,6.0
Ari Folman,8.0,1,8.0,8.0
Ari Kirschenbaum,5.8,1,5.8,5.8
Ari Sandel,6.5,1,6.5,6.5
Arie Posin,7.0,1,7.0,7.0
Ariel Vromen,6.6,2,6.9,6.3
Arjun Sablok,3.3,1,3.3,3.3
Arthur Hiller,3.5,1,3.5,3.5
Asger Leth,6.6,1,6.6,6.6
Asghar Farhadi,8.4,1,8.4,8.4
Ash Baron-Cohen,6.4,1,6.4,6.4
Ash Brannon,6.8,1,6.8,6.8
Ashish R. Mohan,4.3,1,4.3,4.3
Atom Egoyan,6.88,6,7.7,6.3
Audrey Wells,6.7,1,6.7,6.7
Ava DuVernay,7.0,2,7.5,6.5
Avi Nesher,5.5,1,5.5,5.5
Ayan Mukerji,6.9,1,6.9,6.9
Babak Najafi,5.9,1,5.9,5.9
Babar Ahmed,3.2,1,3.2,3.2
Baltasar Kormákur,6.77,3,7.1,6.5
Barbet Schroeder,6.03,3,6.1,5.9
Barbra Streisand,6.57,3,6.6,6.5
Barrett Esposito,6.7,1,6.7,6.7
Barry Cook,5.2,1,5.2,5.2
Barry Levinson,6.58,13,8.0,4.8
Barry Skolnick,6.5,1,6.5,6.5
Barry Sonnenfeld,6.46,7,7.3,4.8
Barry W. Blaustein,7.6,1,7.6,7.6
Bart Freundlich,5.45,2,5.7,5.2
Baz Luhrmann,7.12,5,7.6,6.6
Becky Smith,6.3,1,6.3,6.3
Beeban Kidron,5.9,1,5.9,5.9
Ben Affleck,7.65,2,7.7,7.6
Ben Falcone,5.1,2,5.3,4.9
Ben Lewin,7.2,1,7.2,7.2
Ben Stassen,6.1,1,6.1,6.1
Ben Stiller,6.34,5,7.3,4.8
Ben Wheatley,6.4,2,6.5,6.3
Ben Younger,7.0,1,7.0,7.0
Benedek Fliegauf,6.4,1,6.4,6.4
Benedikt Erlingsson,6.9,1,6.9,6.9
Benh Zeitlin,7.3,1,7.3,7.3
Benjamin Dickinson,5.5,1,5.5,5.5
Benjamin Roberds,6.3,1,6.3,6.3
Bennett Miller,7.5,2,7.6,7.4
Benni Diez,5.0,1,5.0,5.0
Benny Boom,5.9,1,5.9,5.9
Benson Lee,5.0,1,5.0,5.0
Bernardo Bertolucci,7.95,2,8.1,7.8
Beto Gómez,6.0,1,6.0,6.0
Betty Thomas,5.3,4,6.0,4.5
Bibo Bergeron,6.57,3,6.9,6.0
Bigas Luna,6.8,1,6.8,6.8
Bill Benenson,7.4,1,7.4,7.4
Bill Condon,6.56,5,7.5,5.5
Bill Duke,6.1,1,6.1,6.1
Bill Melendez,8.4,1,8.4,8.4
Bill Muir,4.8,1,4.8,4.8
Bill Paxton,7.4,2,7.5,7.3
Bill Plympton,7.0,1,7.0,7.0
Bille August,6.75,2,7.1,6.4
Bille Woodruff,5.12,4,5.5,4.5
Billy Bob Thornton,6.9,2,8.0,5.8
Billy Kent,5.6,1,5.6,5.6
Billy Ray,6.7,2,7.2,6.2
Billy Wilder,7.98,4,8.3,7.3
Blair Erickson,5.5,1,5.5,5.5
Blair Hayes,5.6,1,5.6,5.6
Blake Edwards,6.65,2,7.1,6.2
Blaz Zavrsnik,6.4,1,6.4,6.4
Bo Welch,3.8,1,3.8,3.8
Bo Zenga,3.6,1,3.6,3.6
Boaz Yakin,7.03,3,7.8,6.5
Bob Clark,4.68,4,8.1,1.9
Bob Dolman,5.6,1,5.6,5.6
Bob Fosse,7.4,2,7.8,7.0
Bob Giraldi,7.3,1,7.3,7.3
Bob Gosse,5.3,1,5.3,5.3
Bob Odenkirk,5.65,2,6.0,5.3
Bob Rafelson,6.35,2,6.6,6.1
Bob Saget,5.3,2,6.4,4.2
Bob Spiers,3.3,1,3.3,3.3
Bobby Farrelly,6.13,10,7.1,5.1
Bobby Roth,5.0,1,5.0,5.0
Bobcat Goldthwait,6.9,1,6.9,6.9
Bonnie Hunt,6.9,1,6.9,6.9
Boris Rodriguez,5.7,1,5.7,5.7
Brad Anderson,6.86,5,7.7,6.5
Brad Bird,7.58,5,8.0,6.5
Brad Copeland,6.6,1,6.6,6.6
Brad Furman,6.73,3,7.3,5.6
Brad J. Silverman,6.1,1,6.1,6.1
Brad Peyton,5.4,3,6.1,4.3
Brad Silberling,6.2,4,6.7,5.4
Bradley Parker,5.0,1,5.0,5.0
Bradley Rust Gray,6.3,1,6.3,6.3
Brandon Camp,5.6,1,5.6,5.6
Brandon Cronenberg,5.7,1,5.7,5.7
Brandon Landers,3.0,1,3.0,3.0
Brandon Trost,5.6,1,5.6,5.6
Breck Eisner,6.17,3,6.5,6.0
Brenda Chapman,7.0,1,7.0,7.0
Brendan Malloy,6.3,1,6.3,6.3
Brenton Spencer,3.8,1,3.8,3.8
Brett Leonard,5.45,2,5.5,5.4
Brett Piper,4.5,1,4.5,4.5
Brett Ratner,6.46,9,7.2,6.0
Brian A Miller,4.6,1,4.6,4.6
Brian Baugh,7.1,1,7.1,7.1
Brian Caunter,6.2,1,6.2,6.2
Brian Dannelly,6.9,1,6.9,6.9
Brian De Palma,6.68,12,8.3,5.6
Brian Dorton,7.3,1,7.3,7.3
Brian Gibson,6.4,2,7.2,5.6
Brian Helgeland,6.72,5,7.5,5.1
Brian Henson,7.7,1,7.7,7.7
Brian Klugman,7.1,1,7.1,7.1
Brian Koppelman,6.25,2,6.4,6.1
Brian Levant,4.82,6,5.4,3.6
Brian Percival,7.6,1,7.6,7.6
Brian Robbins,5.53,6,6.4,4.4
Brian Trenchard-Smith,4.17,3,4.3,4.1
Brian Yuzna,5.9,1,5.9,5.9
Britt Allcroft,3.6,1,3.6,3.6
Bronwen Hughes,5.9,1,5.9,5.9
Bruce Beresford,7.3,4,8.0,6.4
Bruce Campbell,6.3,1,6.3,6.3
Bruce Dellis,4.8,1,4.8,4.8
Bruce Hunt,5.1,1,5.1,5.1
Bruce Macdonald,4.7,1,4.7,4.7
Bruce Malmuth,6.4,1,6.4,6.4
Bruce McCulloch,5.05,2,5.1,5.0
Bruce McDonald,6.7,1,6.7,6.7
Bruce Paltrow,6.0,1,6.0,6.0
Bruno Barreto,6.4,1,6.4,6.4
Bryan Barber,6.2,1,6.2,6.2
Bryan Singer,7.29,8,8.6,6.1
Burr Steers,6.42,4,7.0,5.8
Byron Howard,6.9,1,6.9,6.9
C. Fraser Press,6.7,1,6.7,6.7
C. Jay Cox,6.45,2,7.2,5.7
Cal Brunker,5.9,1,5.9,5.9
Callie Khouri,5.9,2,6.0,5.8
Cameron Crowe,6.63,7,7.9,5.4
Camille Delamarre,5.4,2,5.7,5.1
Carl Franklin,6.6,3,7.0,6.3
Carl Rinsch,6.3,1,6.3,6.3
Carl Theodor Dreyer,8.1,1,8.1,8.1
Carlos Carrera,6.8,1,6.8,6.8
Carlos Saldanha,6.82,4,7.0,6.4
Carlos Saura,7.2,1,7.2,7.2
Carmen Marron,3.9,1,3.9,3.9
Carol Reed,7.15,2,7.5,6.8
Caroline Link,7.7,1,7.7,7.7
Carroll Ballard,7.35,2,7.4,7.3
Carter Smith,5.9,1,5.9,5.9
Cary Bell,8.7,1,8.7,8.7
Caryn Waechter,6.3,1,6.3,6.3
Cassandra Nicolaou,6.0,1,6.0,6.0
Catherine Gund,6.8,1,6.8,6.8
Catherine Hardwicke,5.99,7,7.1,5.2
Catherine Jelski,4.2,1,4.2,4.2
Catherine Owens,8.4,1,8.4,8.4
Cathy Malkasian,5.2,1,5.2,5.2
Cecil B. DeMille,6.7,1,6.7,6.7
Cedric Nicolas-Troyan,6.1,1,6.1,6.1
Chad Hartigan,6.6,1,6.6,6.6
Chad Kapper,3.4,1,3.4,3.4
Chan-wook Park,7.63,3,8.4,6.8
Chao-Bin Su,6.9,1,6.9,6.9
Charles Adelman,4.8,1,4.8,4.8
Charles Binamé,7.7,1,7.7,7.7
Charles Chaplin,8.6,1,8.6,8.6
Charles Ferguson,7.87,3,8.3,7.0
Charles Herman-Wurmfeld,6.2,3,7.3,4.6
Charles Martin Smith,6.13,3,6.9,5.1
Charles Matthau,6.5,1,6.5,6.5
Charles Robert Carner,3.1,1,3.1,3.1
Charles S. Dutton,5.3,1,5.3,5.3
Charles Shyer,6.2,1,6.2,6.2
Charles Stone III,5.6,2,5.7,5.5
Charles T. Kanganis,4.3,1,4.3,4.3
Charlie Kaufman,7.5,1,7.5,7.5
Charlie Levi,6.1,1,6.1,6.1
Chatrichalerm Yukol,6.6,1,6.6,6.6
Cheryl Dunye,4.5,1,4.5,4.5
Chia-Liang Liu,7.6,1,7.6,7.6
Chris Atkins,7.4,1,7.4,7.4
Chris Buck,7.6,1,7.6,7.6
Chris Butler,7.0,1,7.0,7.0
Chris Carter,5.9,1,5.9,5.9
Chris Columbus,6.65,11,7.5,5.3
Chris D'Arienzo,5.9,1,5.9,5.9
Chris Eyre,7.2,1,7.2,7.2
Chris Gorak,4.9,1,4.9,4.9
Chris Kentis,5.5,2,5.7,5.3
Chris Koch,5.25,2,5.6,4.9
Chris Marker,7.4,1,7.4,7.4
Chris Miller,6.4,2,6.7,6.1
Chris Nahon,6.6,1,6.6,6.6
Chris Noonan,6.9,2,7.0,6.8
Chris Paine,7.7,1,7.7,7.7
Chris Roberts,4.1,1,4.1,4.1
Chris Robinson,6.0,1,6.0,6.0
